no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1960,1959,적당한 사람 ,지은이: 이창섭,21세기북스(북이십일 21세기북스),2025,9791173570025,3810.0,,818.0,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/35840/64/cover200/k042037867_1.jpg,https://data4library.kr/bookV?seq=7016053,654
1961,1961,"맙소사, 나의 나쁜 하루 :나쁜 하루에도 좋은 순간은 있어 ",첼시 린 월리스 글 ;공경희 옮김,알에이치코리아,2023,9788925576794,77840.0,,843.0,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/31465/53/cover/8925576791_1.jpg,https://data4library.kr/bookV?seq=6672897,653
1962,1962,"황금 로봇, 출동!",정재은 글;김도윤 그림,,2016,9788927186960,74810.0,5.0,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264875,652
1963,1962,(호야 님의) 신기 문구점 :어린이 말하기 비법 동화,대화법 코칭: 옥효진 ;그림: 류수형,김영사,2023,9788934919674,74810.0,1.0,802.0,"문학 > 문학 > 문장작법, 수사학",https://image.aladin.co.kr/product/33104/97/cover/8934919671_1.jpg,https://data4library.kr/bookV?seq=6810249,652
1964,1962,잠자는 숲 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2019,9788972750024,4830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/19822/24/cover/8972750026_2.jpg,https://data4library.kr/bookV?seq=2547993,652
1965,1962,따끈따끈 찐만두 씨 :심보영 그림책 ,글·그림: 심보영,사계절(사계절출판사),2021,9791160948875,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28413/16/cover/k722835118_1.jpg,https://data4library.kr/bookV?seq=6353213,652
1966,1962,천하무적 개냥이 수사대 :시즌2,이승민 글 ;윤태규 그림,위즈덤하우스,2023,9791171712519,74810.0,24.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34535/82/cover200/k472932957_1.jpg,https://data4library.kr/bookV?seq=6937173,652
1967,1967,수상한 목욕탕 ,마쓰오 유미 지음 ;이수은 옮김,문예춘추사,2022,9788976045249,3830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/29843/25/cover/8976045246_1.jpg,https://data4library.kr/bookV?seq=6527789,651
1968,1967,로켓아이 :김민우 그림책 ,김민우 글·그림,노란돼지,2023,9791159950391,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30838/41/cover/k082831372_1.jpg,https://data4library.kr/bookV?seq=6622508,651
1969,1967,알랑똥땅 젤리 ,별다름 글 ;민승지 그림,토끼섬,2021,9791197453328,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28264/84/cover/k732835898_1.jpg,https://data4library.kr/bookV?seq=6333136,651
1970,1967,기암관의 살인 ,다카노 유시 지음 ;송현정 옮김,허밍북스,2024,9791198183002,3830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/34530/78/cover200/k222932953_1.jpg,https://data4library.kr/bookV?seq=6937250,651
1971,1971,아빠와 토요일 ,최혜진 글·그림,한림출판사,2018,9788970947204,77810.0,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/134/597/13459778.jpg?type=m1&udate=20180330,https://data4library.kr/bookV?seq=3732761,650
1972,1971,출동 완료! 공룡 중장비 ,글·그림: 페니 데일,이퍼블릭,2019,9791160576313,77840.0,,843.0,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/21981/77/cover/k002636607_1.jpg,https://data4library.kr/bookV?seq=5535930,650
1973,1971,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164064281,74830.0,13.0,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/28689/95/cover/k332836361_1.jpg,https://data4library.kr/bookV?seq=6390351,650
1974,1971,반려 용 팝니다 ,안영은 글 ;지은 그림,Who's Got My Tail(후즈갓마이테일),2023,9791190007399,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31864/20/cover/k302833425_1.jpg,https://data4library.kr/bookV?seq=6707447,650
1975,1971,혼자 학교 가는 날 ,한유진 글 ;김고은 그림,나무의말,2024,9791198860507,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34917/50/cover200/k072933255_1.jpg,https://data4library.kr/bookV?seq=6957858,650
1976,1976,꿀꺽 소파 대소동 ,보람 글·그림,길벗어린이,2025,9788955828016,74810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36277/89/cover200/8955828012_1.jpg,https://data4library.kr/bookV?seq=7052080,649
