no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1600,1597,내가 죽인 남자가 돌아왔다 ,황세연 지음,교보문고,2019,9791159099694,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/19965/93/cover/k622635843_1.jpg,https://data4library.kr/bookV?seq=5452030,744
1601,1597,정욕 ,아사이 료 지음 ;민경욱 옮김,대원씨미디어,2024,9791192738260,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/33663/69/cover/k732939627_1.jpg,https://data4library.kr/bookV?seq=6848873,744
1602,1602,(뽀롱뽀롱 뽀로로) 달을 갖고 싶어요 ,"키즈아이콘,아이코닉스 [편]",아이코닉스,2023,9788964137352,73810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33061/15/cover/8964137353_1.jpg,https://data4library.kr/bookV?seq=6802393,743
1603,1602,시프트 =고통을 옮기는 자 /Shift ,조예은 지음,교보문고,2017,9791159096112,03810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/124/304/12430426.jpg?type=m1&udate=20171202,https://data4library.kr/bookV?seq=3536872,743
1604,1604,옥수수 산타 ,"글, 그림: 윤담요",보림출판사,2024,9788943317652,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35221/36/cover200/8943317654_1.jpg,https://data4library.kr/bookV?seq=6974415,742
1605,1604,설날 ,김영진 글·그림,길벗어린이,2021,9788955825893,74810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26034/18/cover/8955825897_1.jpg,https://data4library.kr/bookV?seq=5848190,742
1606,1604,언제나 밤인 세계 :하지은 장편소설 ,지은이: 하지은,황금가지,2022,9791170520634,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/5686/92/cover/k072837831_1.jpg,https://data4library.kr/bookV?seq=6460288,742
1607,1604,딩동거미 대작전 :신성희 그림책 ,글·그린이: 신성희,한림출판사,2024,9791192697734,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34094/16/cover200/k852931181_1.jpg,https://data4library.kr/bookV?seq=6889246,742
1608,1604,아몬드 :손원평 장편소설 ,지은이: 손원평,다즐링,2023,9791198363503,43810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31893/33/cover/k242833749_2.jpg,https://data4library.kr/bookV?seq=6728325,742
1609,1609,냠냠 빙수 ,윤정주 글·그림,책읽는곰,2017,9791158360474,77810,41,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/11332/40/cover/k632531195_1.jpg,https://data4library.kr/bookV?seq=3472498,741
1610,1609,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164062287,74830,8,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/25020/81/cover/k782632928_1.jpg,https://data4library.kr/bookV?seq=5746636,741
1611,1611,해리포터 :불의 잔 ,J.K. 롤링 지음 ;강동혁 옮김,문학수첩,2019,9788983927699,04840,42,843.5,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/21574/19/cover/8983927690_2.jpg,https://data4library.kr/bookV?seq=5529768,740
